"Station Name","Date (Local Standard Time)","Air Temp. Min. (°C)","Air Temp. Min. Source Flag","Air Temp. Min. Record Completeness (%)","Air Temp. Max. (°C)","Air Temp. Max. Source Flag","Air Temp. Max. Record Completeness (%)","Air Temp. Avg. (°C)","Air Temp. Avg. Source Flag","Air Temp. Avg. Record Completeness (%)","Relative Humidity Avg. (%)","Relative Humidity Avg. Source Flag","Relative Humidity Avg. Record Completeness (%)","Wind Speed 10 m Avg. (km/h)","Wind Speed 10 m Avg. Source Flag","Wind Speed 10 m Avg. Record Completeness (%)"
"Calgary Int'L CS","18-February-2018","-23.6","ACTUAL","100.0","-14.1","ACTUAL","100.0","-17.2","AGGREGATED","100.0","72.4","AGGREGATED","100.0","16.5","AGGREGATED","100.0"
"Calgary Int'L CS","19-February-2018","-24.0","ACTUAL","100.0","-13.5","ACTUAL","100.0","-18.5","AGGREGATED","100.0","63.4","AGGREGATED","100.0","7.6","AGGREGATED","100.0"
"Calgary Int'L CS","20-February-2018","-22.1","ACTUAL","100.0","-9.9","ACTUAL","100.0","-14.2","AGGREGATED","100.0","63.0","AGGREGATED","100.0","11.3","AGGREGATED","100.0"
"Calgary Int'L CS","21-February-2018","-24.1","ACTUAL","100.0","-6.5","ACTUAL","100.0","-15.9","AGGREGATED","100.0","62.7","AGGREGATED","100.0","4.8","AGGREGATED","100.0"
"Calgary Int'L CS","22-February-2018","-18.1","ACTUAL","100.0","-5.1","ACTUAL","100.0","-11.6","AGGREGATED","100.0","68.6","AGGREGATED","100.0","11.2","AGGREGATED","100.0"
"Calgary Int'L CS","23-February-2018","-22.1","ACTUAL","100.0","-0.0","ACTUAL","100.0","-10.3","AGGREGATED","100.0","58.5","AGGREGATED","100.0","18.7","AGGREGATED","100.0"
"Calgary Int'L CS","24-February-2018","-7.2","ACTUAL","100.0","-1.0","ACTUAL","100.0","-4.4","AGGREGATED","100.0","37.8","AGGREGATED","100.0","27.7","AGGREGATED","100.0"
"Calgary Int'L CS","25-February-2018","-11.1","ACTUAL","100.0","0.7","ACTUAL","100.0","-4.2","AGGREGATED","100.0","45.5","AGGREGATED","100.0","22.5","AGGREGATED","100.0"
"Calgary Int'L CS","26-February-2018","-16.0","ACTUAL","100.0","-0.6","ACTUAL","100.0","-7.7","AGGREGATED","100.0","51.8","AGGREGATED","100.0","9.8","AGGREGATED","100.0"
"Calgary Int'L CS","27-February-2018","-10.5","ACTUAL","100.0","0.9","ACTUAL","100.0","-2.7","AGGREGATED","100.0","39.3","AGGREGATED","100.0","24.3","AGGREGATED","100.0"
