Air_Temp_Avg,Relative_Humidity_Avg,Wind_Speed_10m_Avg,Heating_kWh,Electricity_kWh,Cooling_kWh,Natural_Gas_kWh,Domestic_Water_m3
-1.6,73.6,15.0,15427.790120000001,11000.279999997467,5011.515297000001,0.0,18.09
-0.6,73.2,19.4,14444.456000000002,10929.910000003874,4917.732554600001,0.0,0.84
-3.6,85.5,11.1,17247.236020000004,11332.459999999031,5020.3074291,0.0,0.02
-1.5,70.5,8.9,15369.456740000001,12431.099999997765,4703.790673500001,0.0,0.97
7.4,38.6,15.0,9550.007640000002,12798.180000001565,4513.294478000001,0.0,13.44
6.8,47.0,18.1,9483.34092,12572.349999999627,4903.079001100001,0.0,7.75
1.9,62.9,6.8,11480.56474,12737.679999999702,4917.732554600001,0.0,4.9
-8.5,85.2,19.9,21116.68356,11118.749999998137,4568.9779813000005,0.0,9.28
-8.7,71.0,7.5,19758.34914,11034.010000003502,4791.7119945,0.0,7.37
2.5,68.5,14.0,12472.2322,13102.979999996722,4642.2457488,0.0,1.12
2.8,69.5,7.2,12061.120760000002,13447.500000001863,4794.6427052,0.0,5.72
6.3,42.1,13.5,10255.563760000001,13189.729999998584,4797.5734159,0.0,7.08
3.1,44.1,6.5,11325.009060000002,13461.050000002608,4736.028491200001,0.0,12.68
3.0,55.8,7.2,11752.787180000001,12958.089999999851,4733.0977805,0.0,8.63
-2.4,87.4,9.8,15486.123500000002,10967.23999999836,4568.9779813000005,0.0,6.92
-6.6,90.1,8.0,16363.90198,10871.889999998733,4475.1952389,0.0,1.84
-5.2,73.2,6.3,15786.12374,13093.179999999702,4797.5734159,0.0,6.75
-0.7,77.9,7.5,12886.121420000001,13682.480000000447,4683.2756986,0.0,5.91
6.1,56.7,15.2,11041.675500000001,13375.330000001937,4903.079001100001,0.0,5.89
4.0,44.5,13.5,11827.78724,13630.790000000969,4876.702604800001,0.0,8.3
-0.6,54.8,5.5,14252.789180000002,12940.5,4955.8317937,0.0,18.62
-4.5,74.6,4.0,16055.5684,10951.469999996945,4949.9703723,0.0,6.01
-3.8,86.3,14.4,16277.7908,10809.760000003502,4859.1183406,0.0,2.49
-4.0,86.0,16.4,16544.457680000003,12891.279999997467,4873.7718941,0.0,0.01
-5.2,78.3,7.7,18502.79258,13120.009999999776,4777.058441,0.0,12.32
-5.1,60.3,13.1,18694.4594,12871.009999999776,4973.4160579,0.0,8.88
-8.7,76.8,16.1,22466.68464,13092.10000000149,4750.682044700001,0.0,7.08
-12.0,66.7,5.9,23644.46336,12781.050000000745,4935.3168188,0.0,4.73
-8.7,61.5,4.3,19911.127040000003,11015.419999999925,5061.337378900001,0.0,12.25
-6.3,52.2,7.3,18575.014860000003,10988.11999999918,4771.197019600001,0.0,0.04
0.2,46.2,10.6,14891.678580000002,12445.410000000149,4621.7307739,0.0,0.98
3.2,46.8,17.3,12322.232080000002,12453.200000001118,4791.7119945,0.0,3.67
-1.6,53.8,9.6,14872.234120000001,12218.329999998212,4958.762504400001,0.0,8.89
-0.3,51.1,17.4,13833.3444,12311.800000002608,5146.3279892,0.0,2.3
-0.9,54.1,9.4,13158.34386,12597.839999999851,5114.0901715,0.0,1.71
3.2,47.5,13.2,10102.78586,11054.94999999553,4999.7924542,0.0,3.5
0.0,58.2,15.5,12786.121340000002,10665.750000003725,5090.6444859,0.0,6.71
-3.2,71.4,10.1,15152.7899,12656.329999998212,5020.3074291,0.0,0.02
0.9,60.6,14.3,11838.898360000001,12556.420000001788,5023.238139800001,0.0,2.83
1.9,57.0,12.2,11638.8982,12655.26999999769,5032.030271900001,0.0,3.38
2.1,44.5,14.6,11955.565120000001,12391.629999998957,4853.2569192,0.0,10.65
2.1,55.6,18.0,11436.120260000002,11976.120000004768,4809.2962587,0.0,3.4
0.8,49.0,20.3,12836.12138,10699.939999997616,4876.702604800001,0.0,2.37
-6.4,58.4,11.4,17016.68028,10554.38000000082,4961.6932151,0.0,0.01
-3.4,60.2,11.4,15444.456800000002,10789.789999997243,4888.425447600001,0.0,6.67
-8.4,79.6,6.7,18311.125760000003,10860.700000001118,4879.6333155,0.0,0.01
-6.0,85.0,7.3,17277.7916,10837.450000001118,5020.3074291,0.0,0.01
-7.5,91.6,9.1,18694.4594,10863.849999999627,4979.2774793,0.0,0.59
-7.7,87.0,8.0,19094.45972,10800.030000001192,4850.326208500001,0.0,6.7
-5.8,61.7,9.5,17961.12548,10628.479999998584,4381.4124965,0.0,0.62
1.0,55.0,13.0,12816.676920000002,10497.180000001565,4557.255138500001,0.0,0.0
-7.0,78.2,24.3,19133.34864,10768.749999996275,4692.067830700001,0.0,0.01
-12.4,73.6,10.4,23016.685080000003,10850.730000000447,4542.601585,0.0,6.77
0.6,50.0,13.0,14030.566780000001,12166.019999999553,4478.1259496,0.0,0.01
