Realname,Name,Date,Air_Temp_Avg,sum(Heating_kWh),sum(Cooling_kWh),sum(Electricity_kWh),sum(Natural_Gas_kWh),sum(Domestic_Water_m3)
EEEL,b1,2020-07,16.60322580645161,131774.26375266,292210.9298552356,343617.3489999976,179934.43283632,58.372690000000006
EEEL,b1,2020-08,17.22258064516129,127004.129381,306931.2361528495,350533.15000000224,184017.09165799996,62.07263
EEEL,b1,2020-09,12.62,197123.34773962,217963.76866137751,343489.8049999997,173205.96634244,72.64818000000001
EEEL,b1,2020-10,2.4870967741935486,425384.64030744013,138915.0805228851,377123.53800000064,168906.66012522,1442.5670400000001
EEEL,b1,2020-11,-0.6799999999999997,497161.22550644004,115950.60003556087,361439.98200000264,160583.43124441997,408.89822999999996
EEEL,b1,2020-12,-2.464516129032258,586304.9384880201,123154.3953724568,359326.76099999994,170545.39476954,129.14566
EEEL,b1,2021-01,-4.529032258064516,655755.6301596399,111128.78085003982,337701.03199999966,165987.79667902002,181.37319000000002
EEEL,b1,2021-02,-12.628571428571428,854777.2560434801,104140.94079249482,303077.5089999996,147860.70162180002,212.03616
EEEL,b1,2021-03,1.7967741935483867,509904.58153444994,150722.79523940175,341163.07799999975,165742.63676067,238.09272500000006
EEEL,b1,2021-04,4.203333333333333,461798.1361048802,178736.53418147593,327192.0510000009,163290.96118821995,161.02788
EEEL,b1,2021-05,8.996774193548385,273882.15521666006,157900.4823400267,326026.96899999864,173916.82246667997,115.76620999999999
EEEL,b1,2021-06,17.540000000000003,114375.56372259997,291893.86798744544,314676.83300000057,172943.14946552002,106.15288
EEEL,b1,2021-07,19.3483870967742,90350.50839146001,328700.9010563121,318860.2430000007,184722.68388914005,113.01369000000001
EEEL,b1,2021-08,16.609677419354842,146884.7425077,260550.5207773496,319131.716,176096.61587718007,102.76733000000002
EEEL,b1,2021-09,12.993333333333332,200768.44950352007,207363.83059679315,321292.1569999978,168593.30015230997,202.45629000000002
ENG,b2,2018-10,3.5935483870967735,1169184.26868,172724.3658152,372289.358,72952.83614000001,2166.14
ENG,b2,2018-11,-0.6566666666666667,1180009.27734,116404.89829330004,333300.64999999944,66094.49732000002,2289.98
ENG,b2,2018-12,-3.5161290322580645,1169992.60266,124572.78901420003,335464.94200000167,41477.81096,1923.98
ENG,b2,2019-01,-3.938709677419355,1196437.06826,84592.03364480003,339463.94899999956,7991.673060000003,2226.88
ENG,b2,2019-02,-18.524999999999995,1489737.3029000002,3302.9109589,343681.5530000003,67833.3876,2056.87
ENG,b2,2019-03,-3.293548387096774,1391578.89104,3824.5774635000002,697976.6339999982,52197.25963999999,2248.02
ENG,b2,2019-04,4.826666666666667,1015545.25688,5550.770146400001,860025.2070000013,70769.50106000001,1869.48
ENG,b2,2019-05,8.90967741935484,822181.2133000001,199848.0933437,833999.3089999999,62877.82808000001,801.4199999999998
ENG,b2,2019-06,13.606666666666664,589500.4716000002,317668.5249051,776671.8400000012,11855.56504,931.3100000000001
ENG,b2,2019-07,15.66451612903226,180191.81082,308164.13542,803897.5709999991,883.3340400000004,1536.1999999999998
