year,month,day,hour,minute,open,close,high,low,volume,number_of_trades
2023,4,1,3,15,28591.74,28548.25,28593.05,28543.51,1.7046279,71
2023,4,1,4,15,28585.7,28614.14,28614.14,28570.94,1.10317663,58
2023,4,1,5,15,28579.54,28558.78,28589.03,28558.78,1.02989184,72
2023,4,1,6,15,28544.95,28446.05,28544.95,28446.05,3.11934305,137
2023,4,1,7,15,28417.37,28412.6,28431.28,28377.84,0.16524438,66
2023,4,1,8,15,28464.22,28488.88,28488.88,28417.15,0.08329687,36
2023,4,1,9,15,28458.46,28449.88,28463.04,28440.01,0.85321167,40
2023,4,1,10,15,28420.58,28437.31,28447.43,28417.15,2.59682502,52
2023,4,1,11,15,28457.54,28448,28467.12,28438.01,0.33712374,35
2023,4,1,12,15,28402.67,28440.05,28440.05,28392.63,0.78358942,63
2023,4,1,13,15,28444.01,28444.26,28451.5,28404.7,0.82659225,86
2023,4,1,14,15,28425.79,28392.91,28431.01,28359.82,6.22245874,147
2023,4,1,15,15,28351.87,28379.44,28379.44,28343.92,0.4848726,91
2023,4,1,16,15,28458.06,28440.28,28458.06,28431.91,1.49779982,91
2023,4,1,17,15,28405.59,28390.46,28405.59,28375.03,0.52503831,70
2023,4,1,18,15,28406.57,28369,28407.69,28356.99,2.17745075,106
2023,4,1,19,15,28382.99,28396.01,28399.02,28367.21,0.405007,73
2023,4,1,20,15,28444.41,28443.15,28456.95,28439.87,2.73597921,86
2023,4,1,21,15,28515.56,28497.3,28535.35,28495.07,0.27478934,65
2023,4,1,22,15,28518.05,28534,28542.2,28509.07,3.30796068,88
2023,4,1,23,15,28554.72,28527.65,28566,28521.67,2.75631868,59
2023,4,2,0,15,28492.99,28491.45,28507.67,28482.45,1.81353897,50
2023,4,2,1,15,28403.17,28423.55,28451.01,28394.8,1.78745428,50
2023,4,2,2,15,28439.99,28441,28445.03,28399.9,0.9346361,49
2023,4,2,3,15,28450,28501.99,28501.99,28446.32,1.24823881,52
2023,4,2,4,15,28491.44,28485.74,28501.41,28480.01,1.28203066,43
2023,4,2,5,15,28425.55,28439.73,28465.03,28425.55,0.70249774,40
2023,4,2,6,15,28456.94,28449.65,28461.39,28437.32,0.70457873,42
2023,4,2,7,15,28487.95,28472.94,28494.06,28469.72,0.04106755,14
2023,4,2,8,15,28411.07,28436.74,28440.27,28405.6,0.35388895,23
2023,4,2,9,15,28410.58,28424.45,28437.01,28410.58,0.03027661,15
2023,4,2,10,15,28425.32,28410.4,28430.11,28394.7,1.64636238,46
2023,4,2,11,15,28400.5,28392.8,28412.9,28370.37,0.07517067,26
2023,4,2,12,15,28374.03,28348.31,28385.26,28319.14,0.52486933,59
2023,4,2,13,15,28232.6,28301.99,28301.99,28228.98,1.11778093,55
2023,4,2,14,15,28284.76,28338.99,28338.99,28278.12,2.28599614,47
2023,4,2,15,15,28134,28149,28185.86,28076.03,9.58305092,87
2023,4,2,16,15,28152.94,28011.92,28152.94,28007.41,20.91152995,208
2023,4,2,17,15,28159.16,28148.32,28179.46,28148.32,1.1201089,50
2023,4,2,18,15,28222.68,28202.24,28222.68,28187.41,0.2409275,32
2023,4,2,19,15,28152.6,28144.83,28157.28,28121.71,5.60833806,79
2023,4,2,20,15,28004.79,28064.28,28069.15,27976.66,2.51884957,71
2023,4,2,21,15,28150,28136.74,28159.01,28110,0.50842307,46
2023,4,2,22,15,27925,27986.02,28013.99,27900,7.10310286,124
2023,4,2,23,15,28105.71,28128.12,28140,28060.66,6.17004295,115
2023,4,3,0,15,28176.51,28167.37,28186.55,28128.77,2.58137398,80
2023,4,3,1,15,28117.48,28033.24,28117.48,28033.24,0.7007958,62
2023,4,3,2,15,27786.32,27794.57,27824.3,27781.32,8.75324333,129
2023,4,3,3,15,27695.97,27732.53,27747.8,27674.75,5.39671152,82
2023,4,3,4,15,27724.71,27693.12,27729,27670.59,7.01289179,167
2023,4,3,5,15,27717.47,27739.04,27752.03,27713.72,0.12607601,34
2023,4,3,6,15,27704.42,27711.28,27722.33,27670.8,1.08500418,35
2023,4,3,7,15,27817.45,27936.07,27945.25,27810.95,0.59895911,70
2023,4,3,8,15,28175.15,28382.81,28437.1,28163.59,15.49728228,267
2023,4,3,9,15,28310.96,28320.98,28392.89,28310.96,1.55293068,46
2023,4,3,10,15,28345.81,28415.37,28437,28345.03,1.06314695,46
2023,4,3,11,15,28267.99,28296,28314.63,28263.62,0.16222235,27
2023,4,3,12,15,28251.41,28131.26,28261.86,28123.44,7.68205784,142
2023,4,3,13,15,28140,28236.37,28236.37,28136.5,3.04841973,108
2023,4,3,14,15,28256.15,28255.53,28263.83,28204,7.06788095,125
2023,4,3,15,15,27985.73,28087.29,28118.2,27974.02,3.9045093,126
2023,4,3,16,15,28105.11,28063.85,28121.13,28051.99,3.62227593,621
2023,4,3,17,15,28021.95,27994.55,28021.95,27981.8,0.96052102,217
2023,4,3,18,15,27999,28088.22,28116.33,27954.28,8.06845719,198
2023,4,3,19,15,28160.46,28129.19,28161.7,28097.2,4.75414849,136
2023,4,3,20,15,27700,27770,27805.06,27645,19.7027357,284
2023,4,3,21,15,27441.73,27541.46,27591.9,27381.99,13.61212306,248
2023,4,3,22,15,27765.22,27912.56,27947.62,27734.68,8.1578824,221
2023,4,3,23,15,27894.28,27900.4,27948.24,27889.15,5.8997885,106
2023,4,4,1,15,27735.79,27872.05,27876.63,27706.67,4.64255734,182
2023,4,4,2,15,27848.14,27917.58,27917.58,27812.76,0.86434341,81
2023,4,4,3,15,27877.53,27939.38,27951.99,27875.54,0.55642869,49
2023,4,4,4,15,27890.93,27866.83,27890.93,27850,0.39290317,64
2023,4,4,5,15,27866.66,27905.59,27956.45,27866.66,1.01606456,77
2023,4,4,6,15,27890.99,27914.16,27918.16,27877.68,0.23574357,21
2023,4,4,7,15,28122.5,28037.1,28122.5,28034.62,0.15494122,52
2023,4,4,8,15,28028.06,28018.65,28028.06,27952.11,0.21081164,43
2023,4,4,9,15,28047.09,28074.72,28107.42,28047.09,0.12616606,22
2023,4,4,10,15,28286.63,28260.36,28342.13,28256.55,2.87473207,113
2023,4,4,11,15,28345.22,28295.43,28416.85,28239.43,9.00679654,284
2023,4,4,12,15,28260.25,28312.74,28366,28255.78,4.46715045,82
2023,4,4,13,15,28298.86,28278.12,28318.34,28278.12,1.11524008,82
2023,4,4,14,15,28211.49,28169.71,28214.09,28101.99,2.90773439,104
2023,4,4,15,15,28105.76,28016.45,28107.33,27952.02,3.61435354,713
2023,4,4,16,15,28003.4,28063.9,28070.34,27991.18,7.43075971,159
2023,4,4,17,15,28108.42,28155.15,28199.98,28107.75,1.5247767,84
2023,4,4,18,15,28178.28,28130.31,28180.6,28123.3,10.41948321,134
2023,4,4,19,15,28140.51,28091.37,28162.95,28082.04,4.41364775,105
2023,4,4,20,15,28197.35,28190.29,28214.41,28186.47,3.46724179,107
2023,3,31,15,30,28392.67,28400.71,28458.7,28360.45,8.50408689,188
2023,3,31,16,30,28413.45,28367.66,28471.92,28367.66,1.69276314,110
2023,3,31,17,30,28395.42,28298.92,28403.73,28292.72,2.70460018,129
2023,3,31,18,30,28347.26,28375.69,28375.69,28318.58,4.985035,124
2023,3,31,19,30,28416.85,28444.36,28529.87,28409,12.95820186,180
2023,3,31,20,30,28372.58,28456.56,28464.12,28348.94,7.9949314,159
2023,3,31,21,30,28433.81,28499.99,28500.42,28422.94,1.69325118,107
2023,3,31,22,30,28582.83,28581.96,28633,28541.15,9.27998761,184
2023,3,31,23,30,28557.78,28484.71,28572.72,28483.83,2.26817241,94
2023,4,1,0,30,28505.01,28466.71,28515.17,28437.77,5.87263468,117
2023,4,1,1,30,28460.02,28482.75,28524.8,28460.02,1.99486223,68
2023,4,1,2,30,28622.97,28538.66,28638.64,28493.55,1.21935473,133
2023,4,1,3,30,28545.66,28556.41,28583.13,28525.51,1.39385405,53
2023,4,1,4,30,28608.75,28608.17,28631.7,28600.82,1.20815574,64
2023,4,1,5,30,28558.78,28568.56,28571.91,28542.28,4.14489963,125
2023,4,1,6,30,28444.44,28489.42,28499.36,28377.84,3.29067492,105
2023,4,1,7,30,28419.14,28413.54,28442.6,28402.87,0.88441493,66
2023,4,1,8,30,28483.68,28484.24,28496.19,28461.35,0.0293838,38
2023,4,1,9,30,28443.76,28471.71,28480.76,28440.71,0.31663862,34
2023,4,1,10,30,28439.4,28444.99,28452.24,28435.59,0.05274761,23
2023,4,1,11,30,28450.01,28439.42,28468.52,28438.77,0.75025209,50
2023,4,1,12,30,28435.18,28421.17,28440.05,28387.03,0.4276931,55
2023,4,1,13,30,28445.89,28425.79,28448.15,28425.13,2.28192434,73
2023,4,1,14,30,28395.86,28373.83,28403.79,28327.09,0.43115775,58
2023,4,1,15,30,28378.94,28387.01,28401.99,28369.13,0.62917221,74
2023,4,1,16,30,28440.28,28406.04,28448.7,28406.04,6.24858949,113
2023,4,1,17,30,28390.46,28401.81,28401.81,28371.9,0.70634524,70
2023,4,1,18,30,28369,28370,28394.81,28359.14,2.17395797,120
2023,4,1,19,30,28392.53,28391.96,28403.79,28388.73,0.88445354,91
2023,4,1,20,30,28443.15,28527.9,28588.15,28436.51,4.84122435,198
2023,4,1,21,30,28493.04,28502.5,28505.48,28488.07,0.18704161,24
2023,4,1,22,30,28534,28532.82,28565.99,28518.79,1.97940191,63
