Property Id,Property_Type,Number of Buildings,Year_Built,Property_GFA,Site_Energy,Weather Normalized Site Energy Use (GJ),Site EUI (GJ/m²),Weather Normalized Site EUI (GJ/m²),Source Energy Use (GJ),Weather Normalized Source Energy Use (GJ),Source EUI (GJ/m²),Weather Normalized Source EUI (GJ/m²),Emissions_CO2,Emissions_Intensity,Direct GHG Emissions (Metric Tons CO2e),Direct GHG Emissions Intensity (kgCO2e/m²),Electricity,Natural_Gas,Year Ending,Precipitation,Corn_Heat_Unit,Heating_Degree_Days,Cooling_Degree_Days
21988623,Other - Public Services,1,2001,260.1,541.7,550.3,2.08,2.12,884.9,893.5,3.4,3.43,76.7,294.9,9.6,36.8,98752.4,186.3,2020,832.8,"2,193.00","4,970.20",58.3
21988624,Office,1,1960,767.6,1120.1,1168.5,1.46,1.52,1259.9,1308.7,1.64,1.71,76.1,99.2,50.6,65.9,37589.7,984.8,2020,832.8,"2,193.00","4,970.20",58.3
21988625,Fire Station,1,1982,1108.1,1544.2,1591.6,1.39,1.44,1887.2,1935,1.7,1.75,126.7,114.4,61.6,55.6,95780.6,1199.4,2020,832.8,"2,193.00","4,970.20",58.3
21988627,Other - Public Services,1,1964,425.1,934.9,975.6,2.2,2.3,1031.1,1072.2,2.43,2.52,60.6,142.5,43.3,101.9,25389.7,843.5,2020,832.8,"2,193.00","4,970.20",58.3
21988628,Fire Station,1,1978,1108.1,1118.7,1150.5,1.01,1.04,1503.2,1534.4,1.36,1.38,111.2,100.4,37,33.4,109173.9,720.7,2020,832.8,"2,193.00","4,970.20",58.3
21988629,Fire Station,1,1988,204.4,351.7,364.7,1.72,1.78,438,449.6,2.14,2.2,30,147,13.6,66.5,24203.7,264.5,2020,832.8,"2,193.00","4,970.20",58.3
6169481,Office,1,1981,7770,10626.5,10854.3,1.37,1.4,14570.8,14649,1.88,1.89,1101.4,141.7,338.2,43.5,1122276.2,6586.5,2021,"1,249.10","2,305.00","4,916.10",151.5
6305956,Office,1,1974,6681,4320.7,4475.4,0.65,0.67,6813.2,7018.4,1.02,1.05,540.9,81,1.3,0.2,473985.3,26.1,2021,"1,249.10","2,305.00","4,916.10",151.5
6506773,Office,1,2008,14548,11588.9,11503.6,0.8,0.79,16530.3,16316,1.14,1.12,1293.8,88.9,334.3,23,1411025.7,6509.4,2021,"1,249.10","2,305.00","4,916.10",151.5
6731628,Office,1,2017,5223,3283.9,3383.9,0.63,0.65,4734.7,4835.8,0.91,0.93,370.5,70.9,88.4,16.9,414845.8,1721.9,2021,"1,249.10","2,305.00","4,916.10",151.5
